MM: example partial depth map print (with row and column labels for indices)

0	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	

0	134.52	134.43	134.34	134.24	134.15	134.06	133.96	133.87	114.47	115.5	108.41	125.87	110.2	93.0	93.08	91.85	91.68	90.49	88.48	86.67	86.83	86.43	86.27	92.97	
20	134.76	134.67	134.58	134.48	134.39	134.3	134.2	131.03	134.02	126.28	117.51	115.18	113.8	113.21	110.65	109.86	114.72	100.4	99.1	106.5	91.16	88.75	88.21	87.96	
40	135.01	134.77	134.83	134.73	134.64	134.55	134.45	134.36	134.07	134.17	119.41	116.88	116.37	115.16	116.04	114.8	114.48	113.61	113.96	113.66	112.88	110.15	106.81	103.9	
60	135.26	134.4	135.08	134.98	134.89	134.8	134.7	134.61	133.49	132.0	126.83	118.5	117.26	116.95	117.46	116.83	116.56	116.19	116.75	116.04	115.77	114.86	113.06	114.12	
80	135.51	135.33	135.23	135.14	135.05	134.95	134.86	134.77	121.92	121.33	120.6	119.9	120.42	118.9	119.0	119.42	117.4	117.0	116.7	117.5	116.67	115.2	114.8	
100	135.76	135.67	135.58	135.48	135.39	135.29	135.2	135.11	135.01	134.92	123.33	120.6	119.7	120.08	120.7	121.42	121.7	119.6	119.9	117.69	118.6	116.46	115.23	115.9	
120	136.01	135.92	135.83	135.73	135.64	135.54	135.45	135.36	122.38	135.17	122.62	120.6	119.54	119.9	124.0	125.9	125.0	122.9	121.42	120.17	119.42	118.92	117.31	116.67	
140	136.26	136.17	136.07	135.98	135.89	135.79	135.7	124.77	135.51	135.42	121.69	119.1	119.83	122.08	126.62	129.6	130.2	127.0	124.2	120.4	121.3	120.1	118.6	118.23	
160	136.51	136.42	136.32	136.23	136.14	136.04	135.95	135.86	135.76	129.26	133.44	121.94	123.18	126.11	129.29	131.51	133.51	131.46	128.2	123.55	120.71	119.24	117.85	119.94	
180	136.76	136.67	136.57	136.48	136.39	136.29	136.2	136.11	134.6	129.76	131.63	127.15	128.57	130.92	134.4	136.47	137.17	135.47	131.83	128.21	122.67	120.05	119.7	119.64	
200	137.01	136.92	136.82	136.73	136.64	136.54	136.45	136.36	136.21	130.17	133.36	132.97	132.75	135.55	137.81	141.75	142.05	139.65	136.37	132.1	127.18	121.35	121.03	120.65	
220	137.26	137.17	137.07	136.98	136.89	136.79	136.7	136.61	122.82	132.12	129.2	131.81	135.07	140.49	143.4	146.93	147.46	144.58	140.4	135.29	129.42	122.88	122.74	123.07	
240	137.51	137.41	137.32	137.23	137.13	137.04	136.95	136.86	136.71	129.56	130.29	132.22	138.37	143.19	148.33	151.61	152.81	148.79	143.62	137.52	132.64	127.46	125.38	123.85	
